iter	Passed	Remaining
353	12391	48864
354	12423	48817
355	12458	48782
356	12502	48785
357	12534	48737
358	12566	48689
359	12598	48645
360	12633	48610
361	12667	48570
362	12698	48521
363	12730	48472
364	12761	48423
365	12802	48411
366	12833	48362
367	12865	48314
368	12896	48267
369	12927	48215
370	12958	48164
371	12989	48118
372	13035	48124
373	13066	48075
374	13098	48028
375	13129	47978
376	13162	47936
377	13194	47891
378	13238	47889
379	13270	47843
380	13301	47794
381	13332	47743
382	13362	47694
383	13394	47649
384	13439	47647
385	13473	47609
386	13505	47564
387	13537	47521
388	13573	47489
389	13624	47511
390	13657	47468
391	13688	47420
392	13721	47378
393	13753	47334
394	13784	47285
395	13826	47274
396	13857	47227
397	13889	47183
398	13921	47139
399	13952	47090
400	13985	47047
